Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_RGB","LED_RGB_5050-6",198.500000,-96.100000,90.000000,top
"D2","LED_RGB","LED_RGB_5050-6",195.500000,-83.000000,90.000000,top
"D3","LED_RGB","LED_RGB_5050-6",188.200000,-69.100000,90.000000,top
"J1","Conn_01x04","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",177.835352,-59.451202,-120.000000,top
"R1","51R","R_1206_3216Metric",195.500000,-90.037500,-90.000000,top
"R2","51R","R_1206_3216Metric",190.500000,-75.537500,-90.000000,top
"R3","51R","R_1206_3216Metric",182.037500,-66.000000,0.000000,top
"R4","62R","R_1206_3216Metric",198.000000,-90.037500,90.000000,top
"R5","62R","R_1206_3216Metric",193.000000,-75.575000,-90.000000,top
"R6","62R","R_1206_3216Metric",184.037500,-63.500000,0.000000,top
"R7","51R","R_1206_3216Metric",200.500000,-90.037500,-90.000000,top
"R8","51R","R_1206_3216Metric",195.500000,-75.537500,-90.000000,top
"R9","51R","R_1206_3216Metric",184.037500,-61.000000,0.000000,top
